,1/13/2021
Timestamp,cbt [mC]
1610549353,37044
1610549354,37044
1610549355,37044
1610549356,37044
1610549357,37039
1610549358,37039
1610549359,37039
1610549360,37039
1610549361,37039
1610549362,37039
1610549363,37039
1610549364,37039
1610549365,37039
1610549366,37039
1610549367,37038
1610549368,37038
1610549369,37038
1610549370,37038
1610549371,37038
1610549372,37038
1610549373,37038
1610549374,37038
1610549375,37038
1610549376,37038
1610549377,37038
1610549378,37038
1610549379,37039
1610549380,37039
1610549381,37039
1610549382,37039
1610549383,37039
1610549384,37039
1610549385,37039
1610549386,37039
1610549387,37039
1610549388,37039
1610549389,37039
1610549390,37039
1610549391,37039
1610549392,37039
1610549393,37039
1610549394,37039
1610549395,37039
1610549396,37039
1610549397,37039
1610549398,37039
1610549399,37039
1610549400,37039
1610549401,37039
1610549402,37039
1610549403,37039
1610549404,37039
1610549405,37039
1610549406,37039
1610549407,37039
1610549408,37039
1610549409,37039
1610549410,37039
1610549411,37039
1610549412,37039
1610549413,37039
1610549414,37039
1610549415,37039
1610549416,37039
1610549417,37034
1610549418,37034
1610549419,37034
1610549420,37034
1610549421,37034
1610549422,37034
1610549423,37034
1610549424,37034
1610549425,37034
1610549426,37034
1610549427,37034
1610549428,37034
1610549429,37034
1610549430,37034
1610549431,37034
1610549432,37034
1610549433,37034
1610549434,37034
1610549435,37034
1610549436,37034
1610549437,37034
1610549438,37034
1610549439,37034
1610549440,37034
1610549441,37034
1610549442,37034
1610549443,37034
1610549444,37034
1610549445,37034
1610549446,37034
1610549447,37034
1610549448,37034
1610549449,37034
1610549450,37034
1610549451,37034
1610549452,37034
1610549453,37034
1610549454,37034
1610549455,37034
1610549456,37034
1610549457,37034
1610549458,37034
1610549459,37034
1610549460,37034
1610549461,37034
1610549462,37034
1610549463,37034
1610549464,37034
1610549465,37034
1610549466,37034
1610549467,37034
1610549468,37034
1610549469,37034
1610549470,37034
1610549471,37034
1610549472,37034
1610549473,37034
1610549474,37034
